ID,countries,Announcement Date,Type of Aid General,Type of Aid Specific,Explanation,Monetary Value as Given by Source,Original Currency,Item,Type of item,Soviet origin (1),No. of Units,No. of Units delivered (in-kind military aid),Unit Price in USD,"Value committed (own estimate, in USD)","Value delivered (own estimate, in USD)",Total ,Converted Value in EUR,Total monetary value delivered in EUR,Official Source,Source of Aid 1,Source of Aid 2,Source of Aid 3,Source of Aid 4,Bilateral loan/grant made through IMF or WB?,Updated/newly added entry,Source for Delivery,,,,,,,,,,,,,,,
AUM6,Australia,27/4/2022,Military,Weapons and equipment,"The Australian Government is gifting six M777 155mm lightweight towed howitzers and howitzer ammunition to the Government of Ukraine. Since entire support package is valued at AUD 26.7 million. Source of Aid 1 mentions a total military contribution until April 27 of AUD 225 million. Donation IDs AUM1 to AUM6 report AUD 218.2 million. This is due to Australia providing military aid to Ukraine through the NATO partners, with an undisclosed amount. The difference of AUD 6.8 million between Source of Aid 1 and our data collection until this point is due to this aid through NATO partners, with an undislosed amount (most likely AUD 6.8 million).","26,700,000",AUD,M777 howitzer,4.0,0,6,6,5170000,"31,020,000","31,020,000","26,700,000","17,730,261","17,730,261",Yes ,https://www.peterdutton.com.au/joint-media-release-australia-to-provide-additional-support-to-ukraine/,https://www.abc.net.au/news/2022-02-27/australia-send-weapons-nato-ukraine-war-russia/100865712,.,.,0,0,https://news.defence.gov.au/international/working-together-ukraine,,,,,,,,,,,,,,,
,,,,,,,,round of ammunition for M777 howitzer,4.5,0,undisclosed,undisclosed,3890,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
AUM7,Australia,19/5/2022,Military,Weapons and equipment,"The Australian Government is providing further support with the gifting of 14 M113 Armoured Personnel Carriers (APCs) and a further 20 Bushmaster Protected Mobility Vehicles (PMVs) to the Government of Ukraine. According to Source of Aid 1, the APCs are worth AUD 12 million in total, the PMVs AUD 48.9 million in total. According to Source of Aid 3, this brings the total military contribution of Australia to AUD 285 million. This coincides with the total value recorded here (AUD 279.1 million) as we do not consider AUD 6.8 million dontated to a NATO trust fund as military aid to Ukraine. Source of Aid 3 also mentions that only 4 of the announced 14 M113 have been delivered. However since Source of Delivery states the delivery of the entire package, we assume upper bounds and consider the entire package as being delivered.","60,900,000",AUD,M113 armored personnel carrier,4.0,0,14,14,300000,"4,200,000","4,200,000","60,900,000","40,440,932","40,440,932",Yes ,https://www.peterdutton.com.au/australia-to-provide-armoured-personnel-carriers-and-more-bushmasters-to-ukraine/,https://war.ukraine.ua/news/19207/,https://bulgarianmilitary.com/2022/06/20/ukraine-gets-australian-m113as4-with-12-7mm-browning-m2hb-qcb-355hp/,.,0,0,https://www.armyrecognition.com/defense_news_may_2022_global_security_army_industry/australia_announces_delivery_of_14_m113_tracked_apcs_and_20_bushmaster_armored_vehicles_to_ukraine.html,,,,,,,,,,,,,,,
,,,,,,,,Bushmaster Protected Mobility Vehicles,4.0,0,20,20,1750000,"35,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
ATH1,Austria,25/2/2022,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Not given ,USD,liter of hand disinfectant,0.0,0,50000,.,2,"115,000",.,"775,000","733,902",.,Yes,"https://bmi.gv.at/news.aspx?id=44786F67485A5049462F493D#:~:text=Mit%20der%20bereits%20zweiten%20Hilfslieferung,Plastikhandschuhen%2C%20Schutzbrillen%20und%20Desinfektionsmittel%20entsandt.",.,.,.,0,0,.,,,,,,,,,,,,,,,
,,,,,,,,liter of disinfectant,0.0,0,9000,.,4,"36,000",.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,safety glasses,0.0,0,50000,.,10,"500,000",.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,medical protective mask,0.0,0,50000,.,0,"12,500",.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,gloves,0.0,0,20000,.,0,"3,000",.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,power generator,0.0,0,5,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,sleeping bag,0.0,0,700,.,75,"52,500",.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,liter of water,0.0,0,28000,.,2,"56,000",.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATH2,Austria,3/6/2022,Humanitarian,Equipment,"Austria has sent 20 ambulances to Ukraine, following a commitment from the Chancellor. Note that ""Source of Aid 1"" also lists 16 other ambulances, provided by the city of Vienna, which gives a total of 36 ambulances provided by Austria.",Not given ,USD,ambulance H,0.0,0,36,.,220000,"7,920,000",.,"7,920,000","7,500,000",.,Yes ,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2022/06/bundeskanzler-nehammer-wir-helfen-dort-wo-es-uns-als-neutrales-oesterreich-moeglich-ist.html,https://www.krone.at/2724936,.,.,0,0,.,,,,,,,,,,,,,,,
ATH3,Austria,4/5/2022,Humanitarian,Grant,"The minister of foreign affairs announced to provide additional 41.9 million EUR in financial assistance for humanitarian projects. Note that this is tied to an equal amount that has been donated by the general public (another 41.9 million EUR). As outlined by ""Source of Aid 2"", at least 15 million EUR of this announced sum is devoted to projects for women and children. Furthermore, it is reported that 5 million EUR are devoted to refugees in Moldova. Hence, we substract these 5 million EUR and count 36.9 million EUR as direct aid to Ukraine. We do not report the 17 million EUR donated to international organizations (see ""Source of Aid 2"") and we do report the financial assistance amounting to 10 million EUR (see ""Source of Aid 2"") in ATF1.","36,900,000",EUR,.,.,.,.,.,.,.,.,"36,900,000","36,900,000",.,Yes ,https://www.youtube.com/watch?v=NdYiLiivIgs,https://www.euractiv.com/section/politics/short_news/austria-more-than-doubles-financial-support-for-ukraine-with-citizen-donations/,https://medinlive.at/gesellschaft/oesterreich-unterstuetzt-ukraine-mit-ueber-80-millionen-euro,.,0,0,.,,,,,,,,,,,,,,,
ATM1,Austria,13/3/2022,Military,Military Equipment,"On March 13, Austria announced that it has sent a package consisting of protective helmets, ballistic vests and bandages to Ukraine. The government besides announced to send 200,000 liters of diesel. On May 5, the Ministry of Defence reported the total amounts that were sent in March (""Source of Aid 2"") and puts a value of 35 EUR on each helmet. ""Source of Aid 2"" also mentions that Austria still behaves neutrally, which results in the provision of only non-lethal equipment as reporter here and abstention on the European Peace Facility (EPF) decision.",Not given ,USD,liter of diesel M,1.0,0,200000,200000,1,"258,000","258,000","3,575,659","3,386,041","3,386,041",Yes,https://www.bmi.gv.at/news.aspx?id=69543149763057644C4C633D,https://www.wienerzeitung.at/nachrichten/politik/oesterreich/2146418-Oesterreich-schickte-Ukraine-Armeeausruestung.html,.,.,0,0,https://www.weekend.at/chronik/200000-liter-diesel-aus-oesterreich-fuer-ukraine,,,,,,,,,,,,,,,
,,,,,,,,helmet Austria,1.0,0,10059,10059,37,"371,680","371,680",,,,,,,,,,,https://www.bmi.gv.at/news.aspx?id=69543149763057644C4C633D,,,,,,,,,,,,,,,
,,,,,,,,ballistic vest Austria,1.0,0,9300,9300,317,"2,945,124","2,945,124",,,,,,,,,,,https://www.bmi.gv.at/news.aspx?id=69543149763057644C4C633D,,,,,,,,,,,,,,,
,,,,,,,,wound bandage,1.0,0,1500,1500,1,855,855,,,,,,,,,,,https://www.bmi.gv.at/news.aspx?id=69543149763057644C4C633D,,,,,,,,,,,,,,,
ATF1,Austria,7/3/2022,Financial,Grant,Austria contributed with 10 million EUR to the multi-donor trust fund (MDTF) set up by the World Bank.,"10,000,000",EUR,.,.,.,.,.,.,.,.,"10,000,000","10,000,000",.,Yes ,https://www.worldbank.org/en/news/press-release/2022/03/14/world-bank-announces-additional-200-million-in-financing-for-ukraine,.,.,.,1,0,.,,,,,,,,,,,,,,,
BEH1,Belgium,1/3/2022,Humanitarian,Equipment,"Belgium announced to send medical ressources amounting to 3.4 million EUR. The aid falls within the framework of the EU Civil Protection Mechanism (EUCPM). The package includes on top of the items listed to the right also anaesthetics, muscle relaxants and painkillers. ","3,400,000",EUR,gloves,0.0,0,400000,.,0,"60,000",.,"3,400,000","3,400,000",.,No,https://www.brusselstimes.com/208911/belgium-to-send-e3-4-million-medical-supplies-to-ukraine,.,.,.,0,0,.,,,,,,,,,,,,,,,
,,,,,,,,respiratory assistance device,0.0,0,600000,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,syringe,0.0,0,10000000,.,0,"350,000",.,,,,,,,,,,,,,,,,,,,,,,,,,,
BEH2,Belgium,2/3/2022,Humanitarian,Equipment,"Emergency shelter material adapted to cold climate conditions, such as tents, blankets and sanitary kits. The aid falls within the framework of the EU Civil Protection Mechanism (EUCPM). ","230,000",EUR,.,.,.,.,.,.,.,.,"230,000","230,000",.,Yes,https://diplomatie.belgium.be/en/newsroom/news/2022/belgium_sends_emergency_shelter_material_ukraine_b_fast,.,.,.,0,0,.,,,,,,,,,,,,,,,
BEH3,Belgium,9/4/2022,Humanitarian,Assistance and equipment,"On April 9, in occasion of the event ""Stand Up for Ukraine"", the Belgian Prime Minister announced that Belgium had set up a fund of 800 million EUR to support Ukraine and Ukrainian refugees. Since only 83 million EUR will be sent to Ukraine (see ""Sorce of Aid 2""), we only report this amount. The Prime Minister also mentioned trucks of medical supplies reaching Ukraine on the same day of the announcements (see ""Source of Aid 1""). We assume that the trucks are part of the 83 million EUR package. ","83,000,000",EUR,.,.,.,.,.,.,.,.,"83,000,000","83,000,000",.,Yes,https://twitter.com/i/status/1512804572728897539,https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report/,.,.,0,0,.,,,,,,,,,,,,,,,
BEH4,Belgium,5/5/2022,Humanitarian,Assistance,"Belgium ""scales up the [humanitarian] support to a total of 30 million EUR"". This was announced on the International Donors' Conference on May 5, 2022 (see 1:51:00 in ""Source of Aid 1"") . Since BEH1 already reports a value of 230,000 EUR, we report in this entry the difference between 30 million and 230,000 (30 million EUR - 230,000 EUR = 29,770,000 EUR).","29,770,000",EUR,.,.,.,.,.,.,.,.,"29,770,000","29,770,000",.,Yes,https://www.youtube.com/watch?v=vzENx6dTpqY,.,.,.,0,0,.,,,,,,,,,,,,,,,
BEM1,Belgium,26/2/2022,Military,Weapons and equipment,"Automatic rifles and tons of fuel. This is part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 1"").","76,000,000",EUR,FNC-type automatic rifle,2.0,0,2000,2000,3000,"6,000,000","6,000,000","76,000,000","76,000,000","76,000,000",Yes,https://mil.in.ua/en/news/belgium-made-a-decision-to-hand-over-artillery-to-ukraine-the-media/,https://twitter.com/alexanderdecroo/status/1497542000228417537,https://www.thebulletin.be/belgium-send-more-weapons-and-fuel-ukraine,.,0,0,https://mil.in.ua/en/news/belgium-made-a-decision-to-hand-over-artillery-to-ukraine-the-media/,,,,,,,,,,,,,,,
,,,,,,,,ton of fuel,1.0,0,3800,3800,1663,"6,317,500","6,317,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,,27/2/2022,,Weapons,"Automatic rifles and anti-tank weapons. ""Source of Aid 2"" lists this aid as an additional package to the one reported in BEM1. This is part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 1"").",,,FNC-type automatic rifle,2.0,0,3000,3000,3000,"9,000,000","9,000,000",,,,Yes,,https://twitter.com/alexanderdecroo/status/1497914776063594502,https://www.thebulletin.be/belgium-send-more-weapons-and-fuel-ukraine,.,,,,,,,,,,,,,,,,,,
,,,,,,,,M72 rocket launcher,3.0,0,200,200,2000,"400,000","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,,18/3/2022,,Weapons,"Lethal and non-lethal weapons amounting to 11 million EUR were approved on March 18. This is part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 1""). No further information has been disclosed on the type of weapons. However, ""Source of Aid 3"" mentions that this package is partially covered through the EPF, without disclosing the exact amount of reimbursement.",,,.,.,.,.,.,.,.,.,,,,No ,,https://www.lesoir.be/437698/article/2022-04-22/guerre-en-ukraine-la-belgique-sapprete-livrer-de-nouveaux-missiles-antichars,https://cde.news/belgium-explores-new-avenues-of-assistance-for-ukraine/,.,,,,,,,,,,,,,,,,,,
