,Country,Latitude,Longitude,Date,Refugees from Ukraine,datetime
76,Romania,45.9852129,24.6859225,2022-03-10,453432,2022-03-10
77,Russian Federation,64.6863136,97.7453061,2022-03-10,105897,2022-03-10
78,Belarus,53.4250605,27.6971358,2022-03-10,858,2022-03-10
79,Ukraine,49.4871968,31.2718321,2022-03-10,0,2022-03-10
80,Poland,52.215933,19.134422,2022-03-11,1575703,2022-03-11
81,Hungary,47.1817585,19.5060937,2022-03-11,235576,2022-03-11
82,Republic of Moldova,47.2879608,28.5670941,2022-03-11,106994,2022-03-11
83,Slovakia,48.7411522,19.4528646,2022-03-11,185673,2022-03-11
84,Romania,45.9852129,24.6859225,2022-03-11,453432,2022-03-11
85,Russian Federation,64.6863136,97.7453061,2022-03-11,131365,2022-03-11
86,Belarus,53.4250605,27.6971358,2022-03-11,938,2022-03-11
87,Ukraine,49.4871968,31.2718321,2022-03-11,0,2022-03-11
88,Poland,52.215933,19.134422,2022-03-12,1655503,2022-03-12
89,Hungary,47.1817585,19.5060937,2022-03-12,246206,2022-03-12
90,Republic of Moldova,47.2879608,28.5670941,2022-03-12,106994,2022-03-12
91,Slovakia,48.7411522,19.4528646,2022-03-12,195980,2022-03-12
92,Romania,45.9852129,24.6859225,2022-03-12,453432,2022-03-12
93,Russian Federation,64.6863136,97.7453061,2022-03-12,131365,2022-03-12
94,Belarus,53.4250605,27.6971358,2022-03-12,1226,2022-03-12
95,Ukraine,49.4871968,31.2718321,2022-03-12,0,2022-03-12
96,Poland,52.215933,19.134422,2022-03-13,1720227,2022-03-13
97,Hungary,47.1817585,19.5060937,2022-03-13,255291,2022-03-13
98,Republic of Moldova,47.2879608,28.5670941,2022-03-13,106994,2022-03-13
99,Slovakia,48.7411522,19.4528646,2022-03-13,204862,2022-03-13
100,Romania,45.9852129,24.6859225,2022-03-13,453432,2022-03-13
101,Russian Federation,64.6863136,97.7453061,2022-03-13,131365,2022-03-13
102,Belarus,53.4250605,27.6971358,2022-03-13,1226,2022-03-13
103,Ukraine,49.4871968,31.2718321,2022-03-13,0,2022-03-13
104,Poland,52.215933,19.134422,2022-03-14,1857045,2022-03-14
105,Hungary,47.1817585,19.5060937,2022-03-14,263888,2022-03-14
106,Republic of Moldova,47.2879608,28.5670941,2022-03-14,337215,2022-03-14
107,Slovakia,48.7411522,19.4528646,2022-03-14,213000,2022-03-14
108,Romania,45.9852129,24.6859225,2022-03-14,453432,2022-03-14
109,Russian Federation,64.6863136,97.7453061,2022-03-14,142994,2022-03-14
110,Belarus,53.4250605,27.6971358,2022-03-14,1475,2022-03-14
111,Ukraine,49.4871968,31.2718321,2022-03-14,0,2022-03-14
112,Poland,52.215933,19.134422,2022-03-15,1857045,2022-03-15
113,Hungary,47.1817585,19.5060937,2022-03-15,272943,2022-03-15
114,Republic of Moldova,47.2879608,28.5670941,2022-03-15,344454,2022-03-15
115,Slovakia,48.7411522,19.4528646,2022-03-15,220977,2022-03-15
116,Romania,45.9852129,24.6859225,2022-03-15,467703,2022-03-15
117,Russian Federation,64.6863136,97.7453061,2022-03-15,155841,2022-03-15
118,Belarus,53.4250605,27.6971358,2022-03-15,1816,2022-03-15
119,Ukraine,49.4871968,31.2718321,2022-03-15,0,2022-03-15
120,Poland,52.215933,19.134422,2022-03-16,1916445,2022-03-16
121,Hungary,47.1817585,19.5060937,2022-03-16,282611,2022-03-16
122,Republic of Moldova,47.2879608,28.5670941,2022-03-16,350886,2022-03-16
123,Slovakia,48.7411522,19.4528646,2022-03-16,228844,2022-03-16
124,Romania,45.9852129,24.6859225,2022-03-16,491409,2022-03-16
125,Russian Federation,64.6863136,97.7453061,2022-03-16,168858,2022-03-16
126,Belarus,53.4250605,27.6971358,2022-03-16,2127,2022-03-16
127,Ukraine,49.4871968,31.2718321,2022-03-16,0,2022-03-16
128,Poland,52.215933,19.134422,2022-03-17,2010693,2022-03-17
129,Hungary,47.1817585,19.5060937,2022-03-17,291230,2022-03-17
130,Republic of Moldova,47.2879608,28.5670941,2022-03-17,355426,2022-03-17
131,Slovakia,48.7411522,19.4528646,2022-03-17,234738,2022-03-17
132,Romania,45.9852129,24.6859225,2022-03-17,508692,2022-03-17
133,Russian Federation,64.6863136,97.7453061,2022-03-17,184563,2022-03-17
134,Belarus,53.4250605,27.6971358,2022-03-17,2548,2022-03-17
135,Ukraine,49.4871968,31.2718321,2022-03-17,0,2022-03-17
136,Poland,52.215933,19.134422,2022-03-18,2010693,2022-03-18
137,Hungary,47.1817585,19.5060937,2022-03-18,299273,2022-03-18
138,Republic of Moldova,47.2879608,28.5670941,2022-03-18,359056,2022-03-18
139,Slovakia,48.7411522,19.4528646,2022-03-18,240009,2022-03-18
140,Romania,45.9852129,24.6859225,2022-03-18,518269,2022-03-18
141,Russian Federation,64.6863136,97.7453061,2022-03-18,231764,2022-03-18
142,Belarus,53.4250605,27.6971358,2022-03-18,3765,2022-03-18
143,Ukraine,49.4871968,31.2718321,2022-03-18,0,2022-03-18
144,Poland,52.215933,19.134422,2022-03-19,2050392,2022-03-19
145,Hungary,47.1817585,19.5060937,2022-03-19,305518,2022-03-19
146,Republic of Moldova,47.2879608,28.5670941,2022-03-19,362514,2022-03-19
147,Slovakia,48.7411522,19.4528646,2022-03-19,245569,2022-03-19
148,Romania,45.9852129,24.6859225,2022-03-19,527247,2022-03-19
149,Russian Federation,64.6863136,97.7453061,2022-03-19,231764,2022-03-19
150,Belarus,53.4250605,27.6971358,2022-03-19,3765,2022-03-19
151,Ukraine,49.4871968,31.2718321,2022-03-19,0,2022-03-19
152,Poland,52.215933,19.134422,2022-03-20,2083854,2022-03-20
153,Hungary,47.1817585,19.5060937,2022-03-20,312120,2022-03-20
154,Republic of Moldova,47.2879608,28.5670941,2022-03-20,365197,2022-03-20
155,Slovakia,48.7411522,19.4528646,2022-03-20,250036,2022-03-20
156,Romania,45.9852129,24.6859225,2022-03-20,535461,2022-03-20
157,Russian Federation,64.6863136,97.7453061,2022-03-20,231764,2022-03-20
158,Belarus,53.4250605,27.6971358,2022-03-20,3765,2022-03-20
