EU,Country,Financial Aid,Humanitarian Aid,Military Aid,Bilateral Aid (billion EUR),Bilateral Aid (EUR),GDP (USD),GDP (EUR),Bilateral Aid (% of GDP),Share of EU Aid (billion EUR),Share of EPF Aid (billion EUR),Share of EIB Aid (billion EUR),Sum of Aid via all EU vehicles (billion EUR),Sum of Aid via all EU vehicles (% of GDP),Total aid (bilateral + EU) (billion EUR),Total aid (bilateral + EU) (% of GDP),"Arms and Equipment (adjusted, billion EUR)",Financial Aid with Military purpose (billion EUR),,,,,,,,,,,,,,,,
0,New Zealand,0,0.00240197,0.013818429,0.016220399,"16,220,399  ","210,700,848,974  ","199,527,319,104  ",0.008129,0,0,0,0,0.00000,0.0162,0.00813,0.003610059,0.010208371,,,,,,,,,,,,,,,,
0,Norway,0.033980253,0.035436549,0.49368448,0.563101282,"563,101,282  ","362,198,318,435  ","342,990,831,852  ",0.164174,0,0,0,0,0.00000,0.5631,0.16417,0.454849905,0.038834574,,,,,,,,,,,,,,,,
1,Poland,0.953421171,0.102840909,1.8,2.85626208,"2,856,262,080  ","596,624,360,000  ","564,985,189,394  ",0.505546,0.490789464,0.075456595,0.091487855,0.657733914,0.11642,3.5140,0.62196,1.8,0,,,,,,,,,,,,,,,,
1,Portugal,0.25,0.0012,0.008728598,0.259928598,"259,928,598  ","228,539,000,000  ","216,419,507,576  ",0.120104,0.169935159,0.029291694,0.018221655,0.217448509,0.10048,0.4774,0.22058,0.008728598,0,,,,,,,,,,,,,,,,
0,South Korea,0,0.039015152,0.003390152,0.042405303,"42,405,303  ","1,637,895,802,793  ","1,551,037,692,039  ",0.002734,0,0,0,0,0.00000,0.0424,0.00273,0.003390152,0,,,,,,,,,,,,,,,,
1,Romania,0,0.006639337,0.003,0.009639337,"9,639,337  ","248,715,550,000  ","235,526,089,015  ",0.004093,0.194634988,0.031658833,0.013194994,0.239488816,0.10168,0.2491,0.10578,0.003,0,,,,,,,,,,,,,,,,
1,Slovakia,0,0.005,0.163651894,0.168651894,"168,651,894  ","105,172,560,000  ","99,595,227,273  ",0.169337,0.10901675,0.013472732,0.006046531,0.128536014,0.12906,0.2972,0.29840,0.163651894,0,,,,,,,,,,,,,,,,
1,Slovenia,0,0.002083,0.006628788,0.008711788,"8,711,788  ","53,589,609,581  ","50,747,736,346  ",0.017167,0.042246614,0.006948518,0.005613659,0.054808792,0.10800,0.0635,0.12517,0.006628788,0,,,,,,,,,,,,,,,,
1,Spain,0,0.043885913,0.037245335,0.081131248,"81,131,248  ","1,281,484,640,000  ","1,213,527,121,212  ",0.006686,1.393466628,0.16902817,0.225634721,1.788129519,0.14735,1.8693,0.15404,0.037245335,0,,,,,,,,,,,,,,,,
1,Sweden,0.091348485,0.084840029,0.18246415,0.358652664,"358,652,664  ","541,220,060,000  ","512,518,996,212  ",0.069978,0.391889401,0.072999248,0.069153323,0.534041972,0.10420,0.8927,0.17418,0.075188646,0.107275504,,,,,,,,,,,,,,,,
0,Switzerland,0,0.058622374,0,0.058622374,"58,622,374  ","752,248,045,730  ","712,356,103,911  ",0.008229,0,0,0,0,0.00000,0.0586,0.00823,0,0,,,,,,,,,,,,,,,,
0,Turkey,0,0.000184169,0,0.000184169,"184,169  ","719,954,821,683  ","681,775,399,321  ",0.000027,0,0,0,0,0.00000,0.0002,0.00003,0,0,,,,,,,,,,,,,,,,
0,United Kingdom,2.076649867,0.372969067,3.767802646,6.21742158,"6,217,421,580  ","2,759,804,060,000  ","2,613,450,814,394  ",0.237901,0,0,0,0,0.00000,6.2174,0.23790,1.105181634,2.662621012,,,,,,,,,,,,,,,,
0,United States,9.948863636,8.883617424,23.78206006,42.61454112,"42,614,541,119  ","20,953,030,000,000  ","19,841,884,469,697  ",0.214771,0,0,0,0,0.00000,42.6145,0.21477,6.370879992,17.41118007,,,,,,,,,,,,,,,,
0,China,0,0.002121731,0,0.002121731,"2,121,731  ","14,722,730,697,890  ","13,941,979,827,547  ",0.000015,0,0,0,0,0.00000,0.0021,0.00002,0,0,,,,,,,,,,,,,,,,
0,Taiwan,0,0.011837121,0,0.011837121,"11,837,121  ","612,168,000,000  ","579,704,545,455  ",0.002042,0,0,0,0,0.00000,0.0118,0.00204,0,0,,,,,,,,,,,,,,,,
0,India,0,0.001770833,0,0.001770833,"1,770,833  ","2,660,245,248,867  ","2,519,171,637,185  ",0.000070,0,0,0,0,0.00000,0.0018,0.00007,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
